Time,User full name,Affected user,Event context,Component,Event name,Description,Origin
"17/12/20, 13:51",anonfirstname12 anonlastname12,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '124' viewed the 'quiz' activity with course module id '716'.,
"17/12/20, 13:51",anonfirstname12 anonlastname12,-,Feedback: Feedback for the Course,Feedback,Course module viewed,The user with id '124' viewed the 'feedback' activity with course module id '605'.,
"17/12/20, 13:51",anonfirstname12 anonlastname12,-,Course: test_anon,System,Course viewed,The user with id '124' viewed the course with id '11'.,
"17/12/20, 13:38",anonfirstname68 anonlastname68,anonfirstname68 anonlastname68,Course: test_anon,System,Course user report viewed,The user with id '180' viewed the user report for the course with id '11' for user with id '180'.,
"17/12/20, 13:37",anonfirstname68 anonlastname68,-,Quiz: Weekly Mini Quiz,Quiz,Course module viewed,The user with id '180' viewed the 'quiz' activity with course module id '697'.,
"17/12/20, 13:37",anonfirstname68 anonlastname68,-,Quiz: Weekly Short Quiz,Quiz,Course module viewed,The user with id '180' viewed the 'quiz' activity with course module id '669'.,
"17/12/20, 13:36",anonfirstname68 anonlastname68,anonfirstname68 anonlastname68,Quiz: Weekly mini-quiz,Quiz,Quiz attempt reviewed,The user with id '180' has had their attempt with id '785' reviewed by the user with id '180' for the quiz with course module id '679'.,
"17/12/20, 13:36",anonfirstname68 anonlastname68,anonfirstname68 anonlastname68,Quiz: Weekly mini-quiz,Quiz,Quiz attempt submitted,The user with id '180' has submitted the attempt with id '785' for the quiz with course module id '679'.,
"17/12/20, 13:36",anonfirstname68 anonlastname68,anonfirstname68 anonlastname68,Quiz: Weekly mini-quiz,Quiz,Quiz attempt summary viewed,The user with id '180' has viewed the summary for the attempt with id '785' belonging to the user with id '180' for the quiz with course module id '679'.,
"17/12/20, 12:59",anonfirstname68 anonlastname68,anonfirstname68 anonlastname68,Quiz: Weekly mini-quiz,Quiz,Quiz attempt viewed,The user with id '180' has viewed the attempt with id '785' belonging to the user with id '180' for the quiz with course module id '679'.,
"17/12/20, 12:59",anonfirstname68 anonlastname68,-,Quiz: Weekly mini-quiz,Quiz,Course module viewed,The user with id '180' viewed the 'quiz' activity with course module id '679'.,
"17/12/20, 12:59",anonfirstname68 anonlastname68,-,Quiz: Weekly Short Quiz,Quiz,Course module viewed,The user with id '180' viewed the 'quiz' activity with course module id '669'.,
"17/12/20, 12:59",anonfirstname68 anonlastname68,-,Quiz: Weekly Short Quiz,Quiz,Course module viewed,The user with id '180' viewed the 'quiz' activity with course module id '664'.,
