id,userid,forumid,discussionid,postid,firstread,lastread
6482,174,45,36,291,1600255645,1602942501
6483,174,45,36,290,1600255645,1602942501
6484,174,45,36,284,1600185951,1602942501
6485,174,45,36,283,1600185951,1602942501
6486,174,45,36,282,1600185951,1602942501
6487,174,45,36,303,1601008399,1602942501
6488,174,45,36,302,1601008399,1602942501
6489,174,45,36,301,1601008399,1602942501
6490,174,45,36,300,1601008399,1602942501
6491,174,45,36,299,1601008399,1602942501
6492,174,45,36,298,1601008399,1602942501
6493,174,45,36,297,1601008399,1602942501
6494,174,45,36,296,1600256498,1602942501
6495,174,45,36,289,1600255645,1602942501
6496,174,45,36,288,1600255645,1602942501
6497,174,45,36,287,1600191388,1602942501
6498,174,45,36,286,1600191345,1602942501
6499,174,45,36,285,1600189147,1602942501
6500,174,45,36,281,1600185951,1602942501
6501,174,45,36,280,1600185951,1602942501
6502,174,45,36,279,1600185951,1602942501
6503,174,45,36,278,1600172791,1602942501
6504,175,45,36,303,1601146265,1607714435
6505,175,45,36,302,1601146265,1607714435
6506,175,45,36,301,1601146265,1607714435
6507,175,45,36,300,1600413209,1607714435
